Material_Type,Material_Name,C10_library_LSE,C11_library_LSE,C12_library_LSE,C13_library_LSE,C14_library_LSE,OE_retrieved_LST,C10_OE_retrieved_LSE,C11_OE_retrieved_LSE,C12_OE_retrieved_LSE,C13_OE_retrieved_LSE,C14_OE_retrieved_LSE,OE_retrieved_LST_uncertainty,C10_OE_retrieved_LSE_uncertainty,C11_OE_retrieved_LSE_uncertainty,C12_OE_retrieved_LSE_uncertainty,C13_OE_retrieved_LSE_uncertainty,C14_OE_retrieved_LSE_uncertainty
Urban,Construction Concrete,0.889964133,0.841232846,0.841232846,0.924086591,0.933277257,306.11984,0.8681884,0.8304229,0.83020914,0.90588063,0.9265885,1.4422145,0.02965793,0.026446063,0.024684772,0.021698171,0.021779148
Urban,Bare Red Brick,0.957576656,0.909460109,0.909460109,0.968540542,0.979086167,307.95093,0.89121443,0.8622368,0.8630376,0.921911,0.93846124,1.4707425,0.03018116,0.027308244,0.025529789,0.021986123,0.02189961
Urban,Black paint,0.958426508,0.948134111,0.948134111,0.946286612,0.948291639,305.80902,0.9466104,0.93790144,0.9382459,0.93909526,0.9411888,1.4308748,0.03151199,0.028437639,0.026594298,0.022028163,0.021777613
Urban,White fiberglass unspecified rubber,0.948589899,0.946923854,0.946923854,0.960014169,0.962214263,306.18137,0.9310373,0.9291786,0.92986965,0.9471031,0.94811016,1.443055,0.031118102,0.028254196,0.026429122,0.022129202,0.021894163
Urban,Copper Metal,0.964357791,0.966837444,0.966837444,0.957985389,0.963798213,306.1557,0.9480976,0.9482382,0.9488932,0.9483125,0.9472457,1.4404926,0.031496074,0.028567264,0.026731187,0.022114197,0.02183565
Urban,Black gloss paint,0.955471584,0.945108055,0.945108055,0.92041375,0.910984532,304.23755,0.9789024,0.96642715,0.96633804,0.9353893,0.93364614,1.3944634,0.032677013,0.029168628,0.027249243,0.021847336,0.021518175
Urban,Glossy Black Paint,0.953791628,0.95295244,0.95295244,0.872437316,0.927065858,305.43387,0.9605045,0.9465869,0.9448516,0.8931243,0.9029001,1.4067413,0.033183478,0.029292654,0.027329061,0.021636117,0.021304483
Urban,Douglas Fir,0.972431991,0.973200963,0.971347406,0.930965823,0.94110487,305.44653,0.9717254,0.96733993,0.9668078,0.9348791,0.9342855,1.4204466,0.032612663,0.029278701,0.027367286,0.02190412,0.02155804
Urban,Emissivity of Asphalt ,0.97461456,0.969820192,0.966714182,0.970460049,0.970832513,306.63974,0.94358426,0.9406322,0.9409271,0.9491555,0.94968617,1.4508799,0.031301863,0.02842643,0.026605861,0.02209929,0.02185743
Urban,Cobblestone Pavement (Grey),0.927752854,0.942636419,0.944052614,0.964526671,0.961615055,305.7608,0.92428476,0.9334513,0.9347379,0.95860094,0.95522946,1.4367905,0.030949524,0.028246861,0.026435364,0.022242364,0.021994988
Urban,Cobblestone Pavement (Red),0.931712258,0.944320716,0.944613907,0.964695838,0.96383326,305.91617,0.92406005,0.9313658,0.93239135,0.95643574,0.9541289,1.4413518,0.030946802,0.028229088,0.026421158,0.022220286,0.021976935
